iter	Passed	Remaining
0	1	119
1	2	104
2	3	97
3	3	89
4	4	88
5	5	86
6	6	84
7	7	83
8	8	81
9	8	80
10	9	79
11	10	80
12	12	81
13	13	83
14	14	83
15	15	81
16	16	80
17	17	78
18	18	77
19	19	76
20	19	75
21	20	73
22	21	72
23	22	71
24	23	70
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	31	61
34	32	60
35	33	60
36	34	58
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	45	46
49	45	45
50	46	45
51	47	44
52	48	43
53	49	42
54	50	40
55	50	39
56	51	38
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	30
66	60	30
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	21
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	84	7
92	84	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
