iter	Passed	Remaining
0	167	166856
1	168	83931
2	169	56294
3	170	42500
4	172	34328
5	174	28965
6	176	25046
7	177	22070
8	179	19803
9	181	17955
10	183	16480
11	184	15209
12	186	14155
13	188	13278
14	190	12477
15	191	11775
16	192	11151
17	194	10600
18	195	10103
19	197	9658
20	198	9261
21	200	8911
22	202	8614
23	204	8307
24	205	8031
25	207	7766
26	208	7522
27	210	7291
28	211	7077
29	213	6888
30	214	6715
31	217	6573
32	218	6411
33	220	6259
34	222	6127
35	223	5993
36	225	5857
37	226	5740
38	229	5661
39	231	5563
40	233	5458
41	234	5355
42	236	5255
43	237	5158
44	238	5065
45	240	4981
46	242	4908
47	244	4842
48	245	4767
49	247	4695
50	248	4619
51	249	4551
52	250	4484
53	252	4424
54	254	4364
55	256	4318
56	257	4266
57	259	4211
58	260	4158
59	262	4105
60	263	4055
61	264	4004
62	266	3962
63	268	3919
64	271	3910
65	274	3880
66	275	3839
67	277	3802
68	278	3761
69	280	3722
70	281	3683
71	282	3644
72	284	3612
73	286	3584
74	288	3553
75	289	3520
76	291	3488
77	292	3458
78	293	3426
79	295	3393
80	296	3364
81	298	3339
82	300	3317
83	302	3296
84	303	3269
85	305	3242
86	306	3216
87	307	3189
88	309	3165
89	310	3137
90	312	3118
91	314	3102
92	316	3089
93	318	3065
94	319	3041
95	320	3019
96	321	2996
97	323	2975
98	324	2954
99	326	2934
100	327	2915
101	329	2898
102	330	2880
103	332	2862
104	333	2843
105	334	2824
106	336	2806
107	337	2787
108	338	2770
109	340	2754
110	342	2739
111	344	2728
112	345	2714
113	347	2698
114	348	2682
115	349	2666
116	350	2648
117	352	2631
118	353	2617
119	354	2602
120	356	2588
121	358	2580
122	360	2570
123	361	2556
124	363	2542
125	364	2528
126	365	2512
127	366	2499
128	368	2485
129	369	2470
130	372	2472
131	374	2464
132	376	2451
133	377	2440
134	379	2429
135	380	2417
136	382	2406
137	383	2395
138	385	2385
139	386	2377
140	389	2370
141	390	2358
142	392	2352
143	393	2340
144	395	2329
145	396	2318
146	397	2307
147	398	2296
148	400	2285
149	402	2278
150	403	2269
151	405	2259
152	406	2250
153	407	2240
154	408	2229
155	409	2217
156	411	2207
157	412	2197
158	413	2188
159	415	2180
160	416	2169
161	418	2163
162	420	2156
163	421	2148
164	422	2139
165	424	2130
166	425	2121
167	426	2113
168	429	2109
169	430	2104
170	433	2101
171	435	2094
172	436	2086
173	437	2078
174	439	2070
175	440	2062
176	442	2056
177	444	2050
178	445	2044
179	447	2038
180	448	2030
181	449	2022
182	451	2014
183	452	2005
184	453	1997
185	454	1990
186	456	1983
187	457	1976
188	458	1969
189	460	1964
190	462	1959
191	463	1952
192	465	1945
193	466	1938
194	467	1930
195	468	1922
196	470	1915
197	471	1908
198	472	1901
199	473	1895
200	475	1889
201	477	1885
202	478	1879
203	479	1872
204	481	1866
205	482	1859
206	483	1853
207	485	1847
208	486	1841
209	488	1835
210	490	1833
211	492	1830
212	493	1824
213	494	1817
214	496	1811
215	497	1805
216	498	1799
217	500	1793
218	501	1787
219	502	1780
220	503	1775
221	505	1772
222	507	1767
223	508	1761
